CDT_Time,bar_fence,theta_v_low,theta_v_high,w_theta_v_low,w_theta_v_high,u_lower,u_upper,v_lower,v_upper,u_w_prime_low,u_w_prime_high,v_w_prime_low,v_w_prime_high
18:02:30,|,267.019047737,266.216705799,-0.003024175,-0.002185092,2.02807498,2.474759102,-0.685664237,-0.948557436,-0.002188714,-0.002897525,0.001395385,0.00182768
18:07:30,|,267.225296021,266.418849945,-0.003611695,-0.004364589,2.101561785,2.528001785,-0.603788435,-0.858716488,-0.000711229,-0.000583071,0.000104113,0.000970724
18:12:30,|,267.280092716,266.566647053,-0.010497519,-0.003920601,1.765065193,2.356761217,-0.111863762,-0.343488038,-0.000348567,0.001353055,-0.001915175,-0.001941869
18:17:30,|,266.693629742,266.420431137,-0.007698065,-0.003530668,1.442208648,2.078774929,0.174076483,0.028638016,-0.003572859,0.000177612,-0.000481424,0.000436318
18:22:30,|,266.441560268,266.26798296,-0.010143382,-0.002388885,1.490202546,2.209831953,0.127496168,0.056116592,-0.004130253,0.000383322,-0.000650506,0.000552494
18:27:30,|,266.462164402,265.822546482,-0.005184191,-0.008395552,1.54567349,2.067079067,0.07569734,-0.039552856,-0.001843097,-0.000191513,-0.00018692,8e-05
18:32:30,|,266.668197632,266.255220413,0.002260071,0.001112039,1.575609565,2.201622963,0.109968074,0.045661144,-0.002690938,-2.65e-06,0.000317257,0.000867226
18:37:30,|,266.87836504,266.540010452,0.008935103,0.011989137,1.671630144,2.314776421,0.014697325,-0.029317673,-0.003335843,4.11e-05,-0.000476703,0.001612236
18:42:30,|,266.967474461,266.251505375,-0.002228891,-0.004362563,1.425664306,1.987688303,-0.311853975,-0.27193594,-0.001165667,-0.001110161,-0.000318531,-1.31e-05
18:47:30,|,266.644920349,266.057412148,-0.005342718,-0.002427507,1.448389053,1.74089241,-0.45938918,-0.460667819,1.18e-05,0.000198611,-0.000357626,-0.000423338
18:52:30,|,266.578698635,265.67009449,-0.000996849,-0.000480201,0.943201303,1.287469864,-0.522700131,-0.507815182,-0.009195643,0.001676011,-0.00076797,-0.001553566
18:57:30,|,266.72231245,266.006187439,-0.011753629,-0.007233618,1.201220274,1.750379324,-0.049362682,-0.217488274,-0.002659448,-0.000199221,0.001110834,3.89e-05
19:02:30,|,266.497212887,265.818070889,-0.006217256,-0.000763146,1.099098086,1.496717095,-0.295074344,-0.280061096,-0.001482922,0.000185249,-0.001035788,0.000189124
19:07:30,|,266.488702774,265.737974167,-0.005373754,-0.010006255,1.371611714,1.833379984,-0.35293135,-0.307263732,-0.000831162,0.000712721,0.000148915,0.000374729
19:12:30,|,266.223909855,265.566795349,-0.022274202,-0.028317563,1.501404524,1.999248028,0.083579227,-0.074795634,-0.005356328,-0.001756519,-3.1e-05,-0.000154616
19:17:30,|,266.270785809,265.576379776,-0.008384027,-0.016367363,1.783191442,2.288113117,-0.063640796,-0.181266308,-0.00170654,-0.000369908,-0.000612323,4.25e-05
19:22:30,|,266.340562344,265.565235615,-0.000868534,-0.013617133,1.681942344,2.033279181,-0.032095455,-0.182171777,-0.001839545,-0.00043541,-0.000180336,0.000171452
19:27:30,|,266.398323059,265.724561214,-0.00580874,-0.016517792,1.69412148,2.074807644,-0.070005544,-0.207665354,-0.001457943,-0.001780341,-0.000333696,0.000232422
