CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv
20:57:30,|,1.141766667,2.678284645,3.033783674,3.276032925,3.510612726,3.763134241,|,1.22252667,2.474656343,2.872763395,3.241891861,3.435895443,3.694730997,|,1.13471663,2.078097582,2.418819189,3.178266287,2.936955452,3.437678814,|,0.653781235,NaN,NaN,NaN,NaN,NaN,|,3.504943609,NaN,4.074287415,4.022828579,4.402761936,4.284261227
21:02:30,|,1.403030038,3.166462421,3.596286058,3.847583532,4.130225658,4.37614584,|,1.377572536,2.793113947,3.282591343,3.650959015,3.831053257,4.010899544,|,1.269029617,2.159318686,2.58113575,3.058384895,2.987593651,3.440872192,|,0.632160008,NaN,NaN,NaN,NaN,NaN,|,3.878117323,NaN,4.369854927,3.57187748,4.638893127,3.857655764
21:07:30,|,1.266996622,2.934056044,3.314250231,3.617121458,3.850053549,4.127928257,|,1.431363344,2.795808315,3.341130257,3.776831627,3.998270273,4.345380306,|,1.429219961,2.542435646,2.994395733,3.552299023,3.458436966,3.915474892,|,0.635343313,NaN,NaN,NaN,NaN,NaN,|,4.128349781,NaN,4.706020355,3.443939686,4.840738773,3.674931526
21:12:30,|,0.921970665,2.179919958,2.512153387,2.748772383,2.982280493,3.208118439,|,1.132876635,2.1483953,2.505154848,2.773473978,3.013978958,3.227990866,|,1.572493315,2.79506278,3.299074411,3.360730648,3.850646019,4.300106525,|,0.567956686,NaN,NaN,NaN,NaN,NaN,|,3.090420961,NaN,3.568269491,3.442409039,3.801666021,3.647997618
21:17:30,|,1.248126626,2.762393951,3.150506258,3.455063105,3.728286266,4.028487206,|,1.388779998,2.72507453,3.230576992,3.617389441,3.845747471,4.132435322,|,1.722933292,3.195123672,3.703720093,6.598668575,4.315444946,4.758366585,|,0.870106637,NaN,NaN,NaN,NaN,NaN,|,3.954071045,NaN,4.571845055,4.706390858,4.706114769,5.010891914
21:22:30,|,1.188476682,2.67206502,3.068959236,3.401422024,3.719797373,4.059371948,|,1.535776615,2.997838736,3.523328543,3.881916285,4.069972515,4.40669632,|,1.329476714,2.392118931,2.759831905,NaN,3.268965721,3.653440952,|,0.636766672,NaN,NaN,NaN,NaN,NaN,|,4.172021389,NaN,4.860604286,4.040834904,5.15752697,4.341020107
21:27:30,|,1.323553324,3.026484013,3.471408129,3.77004528,4.028324604,4.281364918,|,1.288316131,2.63455534,3.128376722,3.534060717,3.732663155,4.032256603,|,1.361103654,2.447048187,2.886590004,6.043178558,3.410961628,3.804871798,|,0.662977636,NaN,NaN,NaN,NaN,NaN,|,3.798783302,NaN,4.344703197,3.88323307,4.569272995,4.118085861
21:32:30,|,1.279506683,2.765995979,3.173169374,3.481351137,3.701218367,3.932938099,|,1.506196618,2.932438612,3.456680775,3.876809597,4.045646191,4.333708286,|,1.529626608,2.74464798,3.16256547,4.086118698,3.705292702,4.079712868,|,0.582589984,NaN,NaN,NaN,NaN,NaN,|,4.139488697,NaN,4.605188847,3.776649952,4.818957329,4.114089966
21:37:30,|,1.288422823,2.783965826,3.154750109,3.492483854,3.768676281,3.976001501,|,1.528069973,3.030424833,3.520378113,3.92872715,4.119330883,4.427996635,|,1.696366668,2.918417215,3.33411479,NaN,3.917575359,4.366327763,|,0.573366642,NaN,NaN,NaN,NaN,NaN,|,4.186076641,NaN,4.821447849,3.627256155,5.002388477,3.943899632
21:42:30,|,1.342100024,2.998655796,3.339568853,3.661041737,3.906555176,4.181562901,|,1.376646638,2.721333742,3.11171484,3.479348421,3.667867661,4.034043789,|,1.540940046,2.707904816,3.197379827,4.596201897,3.698123217,4.175640106,|,0.685946643,NaN,NaN,NaN,NaN,NaN,|,3.794378996,NaN,4.435760975,4.209697247,4.682966709,4.592720032
21:47:30,|,1.259570003,2.83552599,3.254131079,3.531552315,3.773933411,4.002511024,|,1.383200049,2.641781569,3.14017868,3.570731401,3.801706314,4.14868784,|,1.72665,3.005859613,3.572106123,5.211513519,4.298536777,4.786278248,|,0.689536691,NaN,NaN,NaN,NaN,NaN,|,3.946328402,NaN,4.510737896,4.407752991,4.725364685,4.695886135
