CDT_time,bar_fence,u_1_5m_uconv,u_3m_uconv,u_4_5m_uconv,u_6m_uconv,u_10m_uconv,bar_fence_1,u_1_5m_lconv,u_3m_lconv,u_4_5m_lconv,u_6m_lconv,u_8_5m_lconv,u_10m_lconv,u_15m_lconv,u_20m_lconv,bar_fence_2,v_1_5m_uconv,v_3m_uconv,v_4_5m_uconv,v_6m_uconv,v_10m_uconv,bar_fence_3,v_1_5m_lconv,v_3m_lconv,v_4_5m_lconv,v_6m_lconv,v_8_5m_lconv,v_10m_lconv,v_15m_lconv,v_20m_lconv,bar_fence_4,w_1_5m_uconv,w_3m_uconv,w_4_5m_uconv,w_6m_uconv,w_10m_uconv,bar_fence_5,w_1_5m_lconv,w_3m_lconv,w_4_5m_lconv,w_6m_lconv,w_8_5m_lconv,w_10m_lconv,w_15m_lconv,w_20m_lconv,bar_fence_6,tc_1_5m_uconv,tc_3m_uconv,tc_4_5m_uconv,tc_6m_uconv,tc_10m_uconv,bar_fence_7,tc_1_5m_lconv,tc_3m_lconv,tc_4_5m_lconv,tc_6m_lconv,tc_8_5m_lconv,tc_10m_lconv,tc_15m_lconv,tc_20m_lconv,bar_fence_8,w_tc__1_5m_uconv,w_tc__3m_uconv,w_tc__4_5m_uconv,w_tc__6m_uconv,w_tc__10m_uconv,bar_fence_9,w_tc__1_5m_lconv,w_tc__3m_lconv,w_tc__4_5m_lconv,w_tc__6m_lconv,w_tc__8_5m_lconv,w_tc__10m_lconv,w_tc__15m_lconv,w_tc__20m_lconv,bar_fence_10,u_w__1_5m_uconv,u_w__3m_uconv,u_w__4_5m_uconv,u_w__6m_uconv,u_w__10m_uconv,bar_fence_11,u_w__1_5m_lconv,u_w__3m_lconv,u_w__4_5m_lconv,u_w__6m_lconv,u_w__8_5m_lconv,u_w__10m_lconv,u_w__15m_lconv,u_w__20m_lconv,bar_fence_12,v_w__1_5m_uconv,v_w__3m_uconv,v_w__4_5m_uconv,v_w__6m_uconv,v_w__10m_uconv,bar_fence_13,v_w__1_5m_lconv,v_w__3m_lconv,v_w__4_5m_lconv,v_w__6m_lconv,v_w__8_5m_lconv,v_w__10m_lconv,v_w__15m_lconv,v_w__20m_lconv
18:02:30,|,-0.823565125465393,-1.05042231082916,-1.28911435604095,-1.37972259521484,-1.5197422504425,|,-0.674016177654266,-0.911181032657623,-1.09894442558289,-1.02861034870148,-1.16722917556763,-1.24316549301147,-1.38350212574005,-1.20393812656403,|,-1.19549787044525,-1.46568787097931,-1.61554169654846,-1.80281054973602,-1.93944680690765,|,-0.612753391265869,-0.79599928855896,-0.939644753932953,-1.02440822124481,-1.17821025848389,-1.26867198944092,-1.53668451309204,-1.33598113059998,|,-0.00267523364163935,0.0358731634914875,0.0482751689851284,0.0385259985923767,-0.00592087442055345,|,0.0678823813796043,-0.00239455117844045,0.0342688374221325,-0.0131408367305994,-0.0144512876868248,-0.0580295138061047,0.0051099001429975,0.03745062276721,|,4.92744159698486,4.73596668243408,3.77797532081604,4.75309038162231,3.73889780044556,|,4.63309812545776,4.5388011932373,3.01660680770874,4.35512638092041,3.30708241462708,3.61845088005066,3.6871395111084,4.45641136169434,|,-0.00608635740354657,-0.00501608243212104,-0.00457198452204466,-0.00478941481560469,-0.00391667196527123,|,-0.00451221084222198,-0.00506726233288646,-0.00225453334860504,-0.00363977043889463,-0.00254210270941257,-0.00338277639821172,-0.00271373149007559,-0.005444067530334,|,0.00714160548523068,0.0102145904675126,0.0177719332277775,0.0207507275044918,0.0233157370239496,|,0.0111249573528767,0.017915228381753,0.00313675659708679,-0.00391731690615416,0.00880776531994343,0.00343435839749873,0.00520096439868212,0.0228526219725609,|,0.0147378090769053,0.0102128861472011,0.000645097752567381,-0.00338345463387668,-0.0063779829069972,|,0.0107854083180428,0.0346968956291676,0.0179992895573378,0.0249424409121275,0.0268077217042446,0.020670298486948,0.0102890152484179,-0.0127248298376799
18:07:30,|,-1.1379382610321,-1.34991931915283,-1.55449056625366,-1.62001800537109,-1.68219804763794,|,-0.6965411901474,-0.971673429012299,-1.1220155954361,-1.03942561149597,-1.17278349399567,-1.33626878261566,-1.49810576438904,-1.28154110908508,|,-1.18107008934021,-1.44423639774323,-1.59217119216919,-1.77715849876404,-1.86574077606201,|,-0.649665713310242,-0.922872722148895,-1.07528460025787,-1.19592654705048,-1.38225615024567,-1.47278821468353,-1.68792712688446,-1.65271270275116,|,0.00877943448722363,0.062668964266777,0.0847654938697815,0.0760563313961029,0.0474716648459435,|,0.0567452497780323,-0.0516222082078457,0.0159409753978252,-0.0308095328509808,-0.0335301421582699,-0.0418154746294022,0.0238801930099726,0.0642762333154678,|,4.95074415206909,4.75644683837891,3.79555583000183,4.7713418006897,3.75734567642212,|,4.6520791053772,4.54925680160522,3.01484560966492,4.35146570205688,3.29624390602112,3.60864353179932,3.68100690841675,4.44661808013916,|,-0.00601759878918529,-0.00124239095021039,-0.00132516014855355,-0.00152242998592556,-0.00302129634656012,|,-0.00628199614584446,-0.00664825644344091,-0.00410045636817813,-0.00717922300100327,-0.00556763494387269,-0.00613321363925934,-0.00552904093638062,-0.0079284431412816,|,0.0131607204675674,0.000556461105588824,0.0157088786363602,0.0156219629570842,0.0456795208156109,|,0.00290327682159841,0.0238444190472364,-0.00336394272744656,0.00434460723772645,0.0091698132455349,0.0130686508491635,0.00778816500678658,0.0335842780768871,|,0.0209621284157038,0.0258673261851072,0.0118230180814862,-0.00100569485221058,0.00412180228158832,|,0.0197957623749971,0.0363832823932171,0.0115165328606963,0.030952287837863,0.053279023617506,0.0432032011449337,0.0328161530196667,0.00858237314969301
18:12:30,|,-1.14641547203064,-1.35274732112885,-1.61473035812378,-1.74195754528046,-1.83784210681915,|,-0.874887049198151,-1.11116111278534,-1.27569377422333,-1.19113981723785,-1.33555459976196,-1.49323964118958,-1.66162919998169,-1.46717858314514,|,-1.16343808174133,-1.44727349281311,-1.60867202281952,-1.80708241462708,-1.97466611862183,|,-0.71559339761734,-0.950313746929169,-1.08882558345795,-1.24897730350494,-1.45318222045898,-1.54656624794006,-1.73716926574707,-1.58483219146729,|,0.0269728675484657,0.0798624530434608,0.0990405902266502,0.113342694938183,0.0772637352347374,|,0.0890052914619446,-0.0112069305032492,0.0463259182870388,0.0030158378649503,-0.0100026782602072,-0.039878387004137,0.0171692688018084,-0.018431356176734,|,4.96444654464722,4.76916456222534,3.80754804611206,4.78237819671631,3.76267623901367,|,4.66131448745728,4.546471118927,3.01019763946533,4.35484886169434,3.29518628120422,3.61127805709839,3.67846202850342,4.46204137802124,|,-0.00862427428364754,-0.00572311179712415,-0.00591998733580112,-0.00579316169023514,-0.0089047234505415,|,-0.00535023538395762,-0.00766004621982574,-0.00439714500680566,-0.0067604542709887,-0.00741407088935375,-0.00783970206975937,-0.006019601598382,-0.00341752613894641,|,0.028755821287632,0.0230033751577139,0.0246949885040522,0.0161477494984865,0.050291832536459,|,0.0228359438478947,0.0429158434271812,0.00296356622129679,0.00550210336223245,0.0305504016578197,0.0337838605046272,0.0253615882247686,0.0225522872060537,|,0.0245713870972395,0.0310969781130552,0.0165861397981644,0.0105611998587847,0.0459993779659271,|,0.0277458839118481,0.0626375675201416,0.0225243102759123,0.0348142869770527,0.0483482740819454,0.0373859666287899,0.0459798164665699,-0.0187345668673515
18:17:30,|,-1.15277302265167,-1.44827103614807,-1.72423386573792,-1.84116554260254,-1.97583615779877,|,-0.655738711357117,-0.904387354850769,-1.08737075328827,-0.991451144218445,-1.18634879589081,-1.2963593006134,-1.42693829536438,-1.25950419902802,|,-1.51452922821045,-1.84772145748138,-2.02146768569946,-2.22461867332458,-2.34064936637878,|,-0.635837376117706,-0.839985251426697,-1.00643718242645,-1.15262293815613,-1.37496030330658,-1.42638778686523,-1.58718359470367,-1.40446853637695,|,0.0278068594634533,0.0933341532945633,0.105250678956509,0.0923561081290245,0.0280074086040258,|,0.0831052213907242,0.00108588917646557,0.0171132143586874,-0.0298288837075233,-0.0316587947309017,-0.0350322388112545,0.00570388464257121,-0.00974714383482933,|,4.94443273544312,4.74787712097168,3.78269290924072,4.76274156570435,3.7364068031311,|,4.60826206207275,4.49907398223877,2.97611451148987,4.31465673446655,3.25652933120728,3.56839489936829,3.63214588165283,4.40761804580688,|,-0.00648611085489392,-0.004508753772825,-0.00458953715860844,-0.00454025994986296,-0.00854993145912886,|,-0.00324609759263694,-0.00793950911611319,-0.00345132686197758,-0.0034729226026684,-0.00391693413257599,-0.00527375051751733,-0.00600261148065329,-0.00508486060425639,|,0.0209146812558174,0.0167939029633999,0.0191838033497334,0.00422706268727779,0.0306906178593636,|,0.0041836928576231,0.0323760099709034,0.00783626735210419,0.00205920985899866,0.0116279264912009,-0.00291896075941622,0.0235681626945734,0.030059015378356,|,0.0256819408386946,0.0322715975344181,0.0353857725858688,0.044901579618454,0.04854866117239,|,0.0151244411244988,0.0464408732950687,0.012894120067358,0.00570861808955669,0.0434718243777752,0.0374011248350143,0.0461326390504837,-0.00283314334228635
18:22:30,|,-0.794054985046387,-0.9814213514328,-1.18088173866272,-1.28066921234131,-1.38947665691376,|,-0.421843618154526,-0.664900720119476,-0.814844727516174,-0.733271539211273,-0.874974370002747,-1.04082000255585,-1.2919088602066,-1.19188785552979,|,-1.35594093799591,-1.57096290588379,-1.72758758068085,-1.92949640750885,-2.04886031150818,|,-0.764539480209351,-0.984836637973785,-1.08622777462006,-1.18288064002991,-1.37000846862793,-1.50914871692657,-1.74081301689148,-1.7318993806839,|,0.0204753261059523,0.0619370527565479,0.092018723487854,0.0580782406032085,0.0222147814929485,|,0.0407441779971123,-0.0619366019964218,-0.0252111852169037,-0.0141050796955824,-0.0261454414576292,-0.0420977212488651,0.0326813831925392,0.128096207976341,|,4.84403896331787,4.64956474304199,3.68548965454102,4.65927410125732,3.64252877235413,|,4.64232349395752,4.52040863037109,2.97752523422241,4.29630279541016,3.24183511734009,3.54695081710815,3.60520935058594,4.38082981109619,|,-0.00701292417943478,-0.00312263425439596,-0.00291551509872079,-0.00494772428646684,-0.00591633748263121,|,-0.00654861377552152,-0.00476204929873347,-0.00374586833640933,-0.0051729092374444,-0.00605450477451086,-0.0063516772352159,-0.00644144834950566,-0.00808426178991795,|,0.00742874201387167,0.0103772161528468,0.0132863987237215,0.0217046327888966,0.0346828140318394,|,0.003884581848979,0.0235390905290842,0.009051363915205,0.012661530636251,0.0218115467578173,0.0270224418491125,0.0484663993120193,0.0490910932421684,|,0.0229205954819918,0.0191372390836477,0.0109863383695483,0.0256790220737457,0.039445411413908,|,0.0224552247673273,0.0318028628826141,0.0243945587426424,0.0331276766955853,0.0598233789205551,0.0513748005032539,0.0695234164595604,0.0133414193987846
18:27:30,|,-0.805061638355255,-1.0399215221405,-1.25723433494568,-1.37298142910004,-1.49437808990479,|,-0.470747649669647,-0.682369649410248,-0.889046549797058,-0.812798023223877,-0.920748770236969,-1.02971708774567,-1.16537714004517,-1.10282301902771,|,-1.44189083576202,-1.69042944908142,-1.83314096927643,-2.01556158065796,-2.08267450332642,|,-0.632391214370728,-0.795372724533081,-0.896130204200745,-0.984271824359894,-1.18061125278473,-1.27491343021393,-1.53971767425537,-1.62084329128265,|,0.00765084708109498,0.0287724304944277,0.0269901007413864,0.00406463304534554,-0.0418062247335911,|,0.0531156696379185,-0.0108442911878228,0.0145736252889037,0.00675266608595848,-0.0171118006110191,-0.00628383457660675,0.0363078191876411,0.08721674233675,|,4.78918170928955,4.58358383178711,3.61585521697998,4.59001922607422,3.57948756217957,|,4.550208568573,4.4324426651001,2.89374279975891,4.21556854248047,3.15799856185913,3.46953821182251,3.53435850143433,4.30405855178833,|,-0.00508708786219358,-0.00444010319188237,-0.00507418159395456,-0.00602864380925894,-0.00613968120887876,|,-0.00459049455821514,-0.00467277504503727,-0.00325623806566,-0.00355968810617924,-0.00365101522766054,-0.00491880625486374,-0.00129041378386319,-0.006225002463907,|,0.00612603221088648,0.014385231770575,0.02262950129807,0.0224955957382917,0.0407082848250866,|,0.00624523917213082,0.0275248680263758,0.00688631413504481,0.00106659287121147,0.000250692595727742,0.0115755265578628,0.00656431075185537,0.0343318544328213,|,0.0169553030282259,0.0189957953989506,0.0181143209338188,0.0168088544160128,0.0249124504625797,|,0.017957640811801,0.042316947132349,0.0295066777616739,0.0315040722489357,0.0399985238909721,0.0370055325329304,0.0259288642555475,-0.0234220251441002
18:32:30,|,-0.813958346843719,-1.03350055217743,-1.24793195724487,-1.36019694805145,-1.50066244602203,|,-0.480371057987213,-0.735949039459229,-0.890848755836487,-0.805667817592621,-0.98099684715271,-1.08059740066528,-1.31406712532043,-1.21352481842041,|,-1.21414053440094,-1.46358954906464,-1.6112654209137,-1.80184209346771,-1.88076746463776,|,-0.523408651351929,-0.702124655246735,-0.864329755306244,-0.983594477176666,-1.21811890602112,-1.39577949047089,-1.70783960819244,-1.66165578365326,|,0.0116975586861372,0.0670367702841759,0.114608615636826,0.121962681412697,0.0949021428823471,|,0.0634097084403038,0.000462704192614183,0.022677343338728,-0.00163946335669607,-0.0381107740104198,-0.0417655892670155,-0.0357620865106583,0.0129857892170548,|,4.73160362243652,4.52601337432861,3.56118106842041,4.53632926940918,3.52457046508789,|,4.47856378555298,4.35661602020264,2.83254218101501,4.15975141525269,3.10377264022827,3.40702891349792,3.47895359992981,4.25210046768188,|,-0.00700759328901768,-0.00439157662913203,-0.00404451554641128,-0.00296838209033012,-0.00364709529094398,|,-0.00366377178579569,-0.00486300839111209,-0.00418494362384081,-0.00418540742248297,-0.00417354796081781,-0.0041482481174171,-0.00342255574651062,-0.00387811218388379,|,0.0178809184581041,0.0194382015615702,0.0269430875778198,0.0148822627961636,0.0283314511179924,|,0.00668025808408856,0.00930804014205933,0.000205212898436002,-0.0018471967196092,0.0147516597062349,0.0134457945823669,0.0156940780580044,0.0350110046565533,|,0.0192542392760515,0.0266156010329723,0.0213557239621878,0.0211175698786974,0.014291706494987,|,0.0149158658459783,0.0404200032353401,0.0197419971227646,0.0153563786298037,0.0305982530117035,0.0319888293743134,0.0452404655516148,-0.0024333749897778
18:37:30,|,-0.936798572540283,-1.20595908164978,-1.46951627731323,-1.58760201931,-1.68037676811218,|,-0.524752676486969,-0.762379169464111,-0.925293564796448,-0.829010963439941,-1.00006663799286,-1.1135082244873,-1.23593807220459,-1.06169939041138,|,-1.16427063941956,-1.45283639431,-1.6227365732193,-1.83402144908905,-1.92038917541504,|,-0.547906160354614,-0.743297040462494,-0.849737942218781,-0.938436269760132,-1.14374053478241,-1.26081478595734,-1.4276932477951,-1.29914355278015,|,0.0263643935322762,0.0585583932697773,0.0873885378241539,0.0728489384055138,0.000801412970758975,|,0.0817197784781456,0.0104934778064489,0.0353105962276459,-0.00365019938908517,-0.0219234190881252,-0.047922246158123,0.0112628685310483,0.0548096410930157,|,4.75799942016602,4.55905628204346,3.59749269485474,4.56800985336304,3.54842877388,|,4.43430423736572,4.3192834854126,2.79134917259216,4.1119327545166,3.05764055252075,3.36911916732788,3.43793225288391,4.19452142715454,|,-0.00575982546433806,-0.00291298981755972,-0.00303131993860006,-0.00369725492782891,-0.00384033424779773,|,-0.00447231903672218,-0.00492787593975663,-0.00231937225908041,-0.00281043536961079,-0.00308233196847141,-0.00342464121058583,-0.00276252184994519,-0.00248233019374311,|,0.014182161539793,0.0158372074365616,0.0321907065808773,0.0306560005992651,0.0347751118242741,|,0.0107018388807774,0.0237833950668573,0.000283367990050465,0.00149195629637688,0.0106370467692614,0.0111563615500927,0.0114038353785872,0.016383396461606,|,0.022545212879777,0.0249613206833601,0.022007854655385,0.0213093403726816,0.0197128988802433,|,0.0135388607159257,0.032587967813015,0.0132821537554264,0.0117630073800683,0.0229044128209352,0.0183726605027914,0.0174874290823936,-0.011654905974865
18:42:30,|,-0.914856612682343,-1.13616394996643,-1.35039460659027,-1.45275175571442,-1.54837667942047,|,-0.603299081325531,-0.894723892211914,-1.09329414367676,-0.955570816993713,-1.11760354042053,-1.19122350215912,-1.37169182300568,-1.20043754577637,|,-1.18281137943268,-1.45003533363342,-1.57962191104889,-1.75730907917023,-1.90435886383057,|,-0.726900160312653,-0.920822262763977,-1.06497025489807,-1.1784553527832,-1.40648019313812,-1.50771021842957,-1.67441189289093,-1.61754536628723,|,0.0161729753017426,0.0517592914402485,0.0700374394655228,0.0768966302275658,0.0229722391813993,|,0.0896820724010468,-0.00550881074741483,0.0237118545919657,-0.00575582077726722,-0.00211251154541969,-0.00692368857562542,0.0245003011077642,0.0385019294917583,|,4.72178983688354,4.50928544998169,3.54523539543152,4.51901245117188,3.49350047111511,|,4.46155691146851,4.33858728408813,2.79890823364258,4.12545204162598,3.06150245666504,3.3604941368103,3.42648077011108,4.1877326965332,|,-0.00595896318554878,-0.00333889108151197,-0.00239305291324854,-0.00199135183356702,-0.00394119508564472,|,-0.00605290150269866,-0.007425207644701,-0.00323885399848223,-0.00411910563707352,-0.00358035718090832,-0.00407534278929234,-0.0035915148910135,-0.0037318728864193,|,0.0146052511408925,0.0157765690237284,0.0165827255696058,0.0140244169160724,0.0141449142247438,|,0.00752043072134256,0.0354375094175339,0.000196922905161045,0.00980824138969183,0.0189917553216219,0.032537467777729,0.0275697354227304,0.0258081946521997,|,0.0255015678703785,0.0256084408611059,0.019258052110672,0.0233229137957096,0.0289775729179382,|,0.0302756894379854,0.0581112466752529,0.0164730418473482,0.0110216224566102,0.0331942178308964,0.0355881750583649,0.0417001321911812,-0.00695312302559614
18:47:30,|,-1.04443347454071,-1.28859090805054,-1.51878237724304,-1.56723952293396,-1.61099934577942,|,-0.648281872272491,-0.893636345863342,-1.05056166648865,-0.988315284252167,-1.15486192703247,-1.29242897033691,-1.46671116352081,-1.26434004306793,|,-1.16514790058136,-1.45843458175659,-1.5986602306366,-1.75555610656738,-1.83940327167511,|,-0.616272985935211,-0.856333911418915,-0.963979959487915,-1.06575489044189,-1.25159800052643,-1.35257303714752,-1.62193441390991,-1.51558041572571,|,0.0125507963821292,0.044777899980545,0.0309647377580404,0.0325513295829296,-0.0023173438385129,|,0.0981158688664436,0.010407249443233,0.0476820357143879,0.00188571610487998,-0.0144308321177959,-0.0558064617216587,-0.0248109251260757,-0.021508639678359,|,4.71451902389526,4.50659322738647,3.54376339912415,4.51596021652222,3.49125814437866,|,4.42061614990234,4.29917621612549,2.77228093147278,4.09926843643188,3.03598952293396,3.34612536430359,3.42094588279724,4.18380689620972,|,-0.00672439439222217,-0.003430679673329,-0.00376954069361091,-0.0052690883167088,-0.00602255621924996,|,-0.0041633821092546,-0.0044659236446023,-0.00256687845103443,-0.00408417545258999,-0.00330114946700633,-0.00361546408385038,-0.0030310177244246,-0.00277972896583378,|,0.0268171168863773,0.0157540310174227,0.0180607307702303,0.0247433204203844,0.0401680208742619,|,0.0071631302125752,0.0238876678049564,-0.00110809609759599,-0.000912198564037681,0.000377177697373554,0.00714835850521922,0.0144812231883407,0.0251979380846024,|,0.0245897863060236,0.0238977540284395,0.0212253909558058,0.0332981050014496,0.049801230430603,|,0.0163808651268482,0.0353818871080875,0.00971987470984459,0.0107960728928447,0.0359973572194576,0.0253884233534336,0.0272355657070875,0.00841468758881092
