CDT_time,bar_fence,spd_0_2m_init,spd_1_5m_init,spd_3m_init,spd_4_5m_init,spd_6m_init,spd_10m_init,bar_fence_1,spd_0_2m_rel,spd_1_5m_rel,spd_3m_rel,spd_4_5m_rel,spd_6m_rel,spd_10m_rel,bar_fence_2,spd_0_2m_uconv,spd_1_5m_uconv,spd_3m_uconv,spd_4_5m_uconv,spd_6m_uconv,spd_10m_uconv,bar_fence_3,spd_0_2m_lconv,spd_1_5m_lconv,spd_3m_lconv,spd_4_5m_lconv,spd_6m_lconv,spd_10m_lconv,bar_fence_4,spd_8_5m_rel,spd_8_5m_lconv,spd_15m_rel,spd_15m_lconv,spd_20m_rel,spd_20m_lconv,,Init,Rel,Uconv,Lconv
20:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.653791249,NaN,NaN,NaN,NaN,NaN,|,NaN,0.760541797,0.796369076,0.865977287,0.930125713,1.105551362,|,NaN,0.997796059,NaN,NaN,NaN,NaN,,0,0,0,0
20:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.484983325,NaN,NaN,NaN,NaN,NaN,|,NaN,1.260229826,1.253337383,1.402028203,1.511980295,1.604662657,|,NaN,1.545864344,NaN,NaN,NaN,NaN,,0,0,0,0
20:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.235793337,NaN,NaN,NaN,NaN,NaN,|,NaN,1.129029989,0.80852443,1.225594878,1.231404066,1.192712545,|,NaN,1.24036932,NaN,NaN,NaN,NaN,,0,0,0,0
20:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.20848,NaN,NaN,NaN,NaN,NaN,|,NaN,0.741170108,0.755283892,0.809691608,0.862867534,0.922857285,|,NaN,0.894532502,NaN,NaN,NaN,NaN,,0,0,0,0
20:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.264403343,NaN,NaN,NaN,NaN,NaN,|,NaN,0.464212596,0.496321142,0.523457706,0.523596585,0.457090944,|,NaN,0.460045189,NaN,NaN,NaN,NaN,,0,0,0,0
21:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.218349457,NaN,NaN,NaN,NaN,NaN,|,NaN,0.56436342,0.628513813,0.659779072,0.659647822,0.76950109,|,NaN,0.719756901,NaN,NaN,NaN,NaN,,0,0,0,0
21:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.324103326,NaN,NaN,NaN,NaN,NaN,|,NaN,0.599306941,0.710882008,0.791308165,0.825690389,0.947788656,|,NaN,0.917842925,NaN,NaN,NaN,NaN,,0,0,0,0
21:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.348263323,NaN,NaN,NaN,NaN,NaN,|,NaN,0.725890279,0.717203557,0.774115264,0.824611187,0.910937488,|,NaN,0.847714841,NaN,NaN,NaN,NaN,,0,0,0,0
21:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.159526661,NaN,NaN,NaN,NaN,NaN,|,NaN,0.545632839,0.521194994,0.545082331,0.579208732,0.481752932,|,NaN,0.550380886,NaN,NaN,NaN,NaN,,0,0,0,0
21:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.422993332,NaN,NaN,NaN,NaN,NaN,|,NaN,0.589677513,0.563250005,0.576314211,0.599963248,0.546157539,|,NaN,0.590632796,NaN,NaN,NaN,NaN,,0,0,0,0
21:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.366095364,NaN,NaN,NaN,NaN,NaN,|,NaN,0.636084616,0.698193908,0.781629503,0.840704083,0.933226824,|,NaN,0.903021216,NaN,NaN,NaN,NaN,,0,0,0,0
21:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.39168334,NaN,NaN,NaN,NaN,NaN,|,NaN,0.591679335,0.687534988,0.77038449,0.814600468,0.991369545,|,NaN,0.92033112,NaN,NaN,NaN,NaN,,0,0,0,0
21:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.429006666,NaN,NaN,NaN,NaN,NaN,|,NaN,0.470397174,0.606120229,0.615273595,0.636480212,0.793497682,|,NaN,0.74282515,NaN,NaN,NaN,NaN,,0,0,0,0
21:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.706473351,NaN,NaN,NaN,NaN,NaN,|,NaN,0.634067774,0.852975309,0.909134805,0.916529477,1.166204929,|,NaN,1.086075425,NaN,NaN,NaN,NaN,,0,0,0,0
21:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.466383338,NaN,NaN,NaN,NaN,NaN,|,NaN,0.382642061,0.428423733,0.510897577,0.528986394,0.817650855,|,NaN,0.67644316,NaN,NaN,NaN,NaN,,0,0,0,0
21:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.352297425,NaN,NaN,NaN,NaN,NaN,|,NaN,0.556355,0.715603888,0.722531855,0.725546658,0.89501667,|,NaN,0.831442475,NaN,NaN,NaN,NaN,,0,0,0,0
21:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.184003338,NaN,NaN,NaN,NaN,NaN,|,NaN,0.51438272,0.5368222,0.561396599,0.538177013,0.57672888,|,NaN,0.564080119,NaN,NaN,NaN,NaN,,0,0,0,0
22:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.241919994,NaN,NaN,NaN,NaN,NaN,|,NaN,0.504992068,0.579711795,0.589807332,0.575360119,0.604707897,|,NaN,0.58063066,NaN,NaN,NaN,NaN,,0,0,0,0
22:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.629736662,NaN,NaN,NaN,NaN,NaN,|,NaN,0.581980944,0.663664401,0.694059849,0.634327173,0.64973551,|,NaN,0.628769696,NaN,NaN,NaN,NaN,,0,0,0,0
22:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.295363337,NaN,NaN,NaN,NaN,NaN,|,NaN,0.478227437,0.607892811,0.727716625,0.786189079,0.847158134,|,NaN,0.851886034,NaN,NaN,NaN,NaN,,0,0,0,0
22:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.310083359,NaN,NaN,NaN,NaN,NaN,|,NaN,0.658435941,0.677923262,0.729189515,0.796553552,0.705089569,|,NaN,0.766461074,NaN,NaN,NaN,NaN,,0,0,0,0
22:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.213159993,NaN,NaN,NaN,NaN,NaN,|,NaN,0.604092896,0.560745835,0.57260865,0.624581397,0.464232892,|,NaN,0.558189094,NaN,NaN,NaN,NaN,,0,0,0,0
22:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.21710667,NaN,NaN,NaN,NaN,NaN,|,NaN,0.341332793,0.383650988,0.266644239,0.251627475,0.213789567,|,NaN,0.220888212,NaN,NaN,NaN,NaN,,0,0,0,0
22:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.365193337,NaN,NaN,NaN,NaN,NaN,|,NaN,0.765979409,0.871208668,0.782446027,0.811278045,0.858099163,|,NaN,0.824836671,NaN,NaN,NaN,NaN,,0,0,0,0
22:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.409733325,NaN,NaN,NaN,NaN,NaN,|,NaN,0.770446897,0.761730969,0.817210376,0.875217617,0.883065224,|,NaN,0.877946377,NaN,NaN,NaN,NaN,,0,0,0,0
22:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.518989682,NaN,NaN,NaN,NaN,NaN,|,NaN,1.272533774,1.32649672,1.441671968,1.53861928,1.668045878,|,NaN,1.6206007,NaN,NaN,NaN,NaN,,0,0,0,0
22:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.749346673,NaN,NaN,NaN,NaN,NaN,|,NaN,1.226314187,1.296951771,1.37686336,1.448471069,1.676159263,|,NaN,1.578655481,NaN,NaN,NaN,NaN,,0,0,0,0
22:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.914566636,NaN,NaN,NaN,NaN,NaN,|,NaN,1.551006794,1.723552942,1.869357824,1.996920228,2.195207596,|,NaN,2.128063202,NaN,NaN,NaN,NaN,,0,0,0,0
22:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.58670336,NaN,NaN,NaN,NaN,NaN,|,NaN,1.073578715,1.142710805,1.234720111,1.314238548,1.518832445,|,NaN,1.439831138,NaN,NaN,NaN,NaN,,0,0,0,0
23:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.824216664,NaN,NaN,NaN,NaN,NaN,|,NaN,1.057110906,1.065672874,1.123776078,1.151254892,1.290150046,|,NaN,1.227632523,NaN,NaN,NaN,NaN,,0,0,0,0
23:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.814701557,NaN,NaN,NaN,NaN,NaN,|,NaN,0.726926804,0.769320846,0.879395008,0.955450535,1.204256654,|,NaN,1.083270788,NaN,NaN,NaN,NaN,,0,0,0,0
23:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.575476646,NaN,NaN,NaN,NaN,NaN,|,NaN,0.57361418,0.597177923,0.695930839,0.717055619,0.888519943,|,NaN,0.804443836,NaN,NaN,NaN,NaN,,0,0,0,0
23:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.301223338,NaN,NaN,NaN,NaN,NaN,|,NaN,0.799618959,0.797663987,0.85468322,0.944322407,0.990515828,|,NaN,0.952114403,NaN,NaN,NaN,NaN,,0,0,0,0
23:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.367156655,NaN,NaN,NaN,NaN,NaN,|,NaN,0.945111394,1.00562036,1.055862665,1.100794077,1.126780748,|,NaN,1.127512932,NaN,NaN,NaN,NaN,,0,0,0,0
23:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.72299999,NaN,NaN,NaN,NaN,NaN,|,NaN,1.021721005,1.150650501,1.236188412,1.285342097,1.50401032,|,NaN,1.404197574,NaN,NaN,NaN,NaN,,0,0,0,0
23:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.725271761,NaN,NaN,NaN,NaN,NaN,|,NaN,0.61668098,0.780367196,0.825770438,0.740647316,0.991554022,|,NaN,0.85720396,NaN,NaN,NaN,NaN,,0,0,0,0
23:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.495476663,NaN,NaN,NaN,NaN,NaN,|,NaN,0.64854306,0.808895588,0.777845263,0.713490963,0.921414435,|,NaN,0.838305175,NaN,NaN,NaN,NaN,,0,0,0,0
23:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.491016656,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
23:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.520416677,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
23:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.581606686,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
23:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.633391142,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:02:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.692759991,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:07:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.508916676,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:12:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.383540004,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:17:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.448920012,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:22:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.422527522,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:27:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.665170014,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:32:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.550773323,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:37:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.481423318,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:42:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.458656669,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:47:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.61074692,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:52:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.603476644,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
0:57:30,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,0.783479989,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,|,NaN,NaN,NaN,NaN,NaN,NaN,,0,0,0,0
